;OS;Count;Count_sp;signalHsmm;signalP;diff
1202;Craterostigma plantagineum (Blue gem) (Torenia plantagineum).;103;1;1;1;0
1253;Crotalus atrox (Western diamondback rattlesnake).;57;15;1;1;0
1259;Crotalus durissus terrificus (South American rattlesnake).;94;17;1;1;0
1326;Cucurbita maxima (Pumpkin) (Winter squash).;54;3;1;1;0
1388;Daboia russelii (Russel's viper) (Vipera russelii).;88;12;1;1;0
1431;Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus).;61;20;1;1;0
1535;Dromaius novaehollandiae (Emu).;103;4;1;1;0
1643;Echinococcus granulosus (Hydatid tapeworm).;86;1;1;1;0
1957;Giardia intestinalis (Giardia lamblia).;106;5;1;1;0
2024;Gossypium barbadense (Sea-island cotton) (Egyptian cotton).;118;1;1;1;0
2100;Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina).;80;1;1;1;0
2130;Heterodontus francisci (Horn shark) (Cestracion francisci).;62;1;1;1;0
2297;Komagataella pastoris (Yeast) (Pichia pastoris).;130;2;1;1;0
2352;Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait).;65;8;1;1;0
2354;Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata).;52;16;1;1;0
2457;Lilium longiflorum (Trumpet lily).;58;6;1;1;0
2626;Macrovipera lebetina (Levantine viper) (Vipera lebetina).;67;38;1;1;0
2643;Malus domestica (Apple) (Pyrus malus).;136;4;1;1;0
2873;Monosiga brevicollis (Choanoflagellate).;185;1;1;1;0
3019;Naja atra (Chinese cobra).;86;48;1;1;0
3022;Naja mossambica (Mozambique spitting cobra).;56;1;1;1;0
3122;Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake).;92;17;1;1;0
3216;Oncorhynchus keta (Chum salmon) (Salmo keta).;58;13;1;1;0
3218;Oncorhynchus masou (Cherry salmon) (Masu salmon).;62;5;1;1;0
3247;Oreochromis niloticus (Nile tilapia) (Tilapia nilotica).;64;3;1;1;0
3275;Oscheius tipulae.;71;1;1;1;0
3357;Papaver somniferum (Opium poppy).;95;1;1;1;0
3679;Plasmodium berghei.;62;6;1;1;0
3869;Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus).;60;23;1;1;0
3895;Pseudechis australis (Mulga snake) (King brown snake).;216;14;1;1;0
3994;Raphanus sativus (Radish).;115;1;1;1;0
4205;Schistocerca gregaria (Desert locust).;107;3;1;1;0
4301;Sminthopsis crassicaudata (Fat-tailed dunnart) (Phascogale crassicaudata).;61;1;1;1;0
4429;Spermophilus tridecemlineatus (Thirteen-lined ground squirrel) (Ictidomys tridecemlineatus).;65;8;1;1;0
4451;Spodoptera frugiperda (Fall armyworm).;71;2;1;1;0
4630;Tetrahymena pyriformis.;79;1;1;1;0
4791;Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper).;67;11;1;1;0
4793;Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri).;161;49;1;1;0
4823;Trypanosoma cruzi.;218;1;1;1;0
4845;Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus).;52;7;1;1;0
5008;Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus).;58;3;1;1;0
2740;Mesembryanthemum crystallinum (Common ice plant) (Cryophytum crystallinum).;108;1;1;1;-1,11E-16
3104;Nicotiana plumbaginifolia (Leadwort-leaved tobacco) (Tex-Mex tobacco).;110;3;1;1;-1,11E-16
2586;Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).;2980;169;0,95070928;0,950753485;-4,42E-05
997;Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops).;391;37;0,959154069;0,959459459;-0,00030539
4333;Solanum tuberosum (Potato).;715;55;0,952231405;0,953030303;-0,000798898
