OS;Count;signalHsmm;signalP;diff;sp_count
Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus).;58;1;1;0;3
Zootoca vivipara (Common lizard) (Lacerta vivipara).;20;1;1;0;1
Mesembryanthemum crystallinum (Common ice plant) (Cryophytum crystallinum).;108;1;1;-1,11E-16;1
Nicotiana plumbaginifolia (Leadwort-leaved tobacco) (Tex-Mex tobacco).;110;1;1;-1,11E-16;3
Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).;2980;0,95070928;0,950753485;-4,42E-05;169
Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops).;391;0,959154069;0,959459459;-0,00030539;37
Solanum tuberosum (Potato).;715;0,952231405;0,953030303;-0,000798898;55
Oryza sativa subsp. japonica (Rice).;8887;0,954535776;0,956350273;-0,001814497;431
Acropora millepora (Staghorn coral).;47;0,998148148;1;-0,001851852;20
Clavispora lusitaniae (strain ATCC 42720) (Yeast) (Candida lusitaniae).;182;0,998137803;1;-0,001862197;3
Trypanosoma brucei brucei.;443;0,809482759;0,811350575;-0,001867816;8
Medicago truncatula (Barrel medic) (Medicago tribuloides).;223;0,997923157;1;-0,002076843;9
Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus).;54;0,997530864;1;-0,002469136;9
Bos taurus (Bovine).;17247;0,951877519;0,954630484;-0,002752965;904
Anguilla japonica (Japanese eel).;59;0,99719888;1;-0,00280112;17
Agaricus bisporus (White button mushroom).;71;0,996415771;1;-0,003584229;9
Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans).;2538;0,956700789;0,960381133;-0,003680344;116
Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata).;265;0,996168582;1;-0,003831418;4
Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis).;171;0,986425339;0,990384615;-0,003959276;52
Antirrhinum majus (Garden snapdragon).;194;0,993019197;0,997382199;-0,004363002;3
Trichophyton verrucosum (strain HKI 0517).;88;0,995263158;1;-0,004736842;50
Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) (Bicoloured deceiver) (Laccaria laccata var. bicolor).;205;0,995098039;1;-0,004901961;1
Saimiri boliviensis boliviensis (Bolivian squirrel monkey).;131;0,990712074;0,995614035;-0,004901961;17
Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus).;612;0,975448688;0,980763921;-0,005315232;82
Rhinolophus ferrumequinum (Greater horseshoe bat).;78;0,994520548;1;-0,005479452;5
Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis).;76;0,994366197;1;-0,005633803;5
Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres).;38;0,993939394;1;-0,006060606;5
Candida albicans (strain WO-1) (Yeast).;323;0,961538462;0,967741935;-0,006203474;13
Bubalus bubalis (Domestic water buffalo).;52;0,96875;0,975;-0,00625;20
Ictalurus punctatus (Channel catfish) (Silurus punctatus).;162;0,993421053;1;-0,006578947;10
Saccharomyces cerevisiae (strain YJM789) (Baker's yeast).;1232;0,912410936;0,91958575;-0,007174814;25
Capsicum annuum (Bell pepper).;138;0,99270073;1;-0,00729927;1
Pagrus major (Red sea bream) (Chrysophrys major).;48;0,992592593;1;-0,007407407;3
Pisum sativum (Garden pea).;935;0,942799263;0,950736648;-0,007937385;30
Beta vulgaris (Sugar beet).;129;0,992;1;-0,008;4
Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis).;113;0,991898148;1;-0,008101852;32
Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast).;123;0,987603306;0,995867769;-0,008264463;2
Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / FGSC A1164 / NRRL 181) (Aspergillus fischerianus).;1207;0,978477293;0,986766222;-0,008288928;81
Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294) (Kluyveromyces polysporus).;871;0,940301974;0,94883856;-0,008536585;10
Macaca nemestrina (Pig-tailed macaque).;37;0,99122807;1;-0,00877193;18
Glycine max (Soybean) (Glycine hispida).;909;0,978933167;0,988013699;-0,009080531;33
Sparus aurata (Gilthead sea bream).;70;0,990755008;1;-0,009244992;11
Aotus nancymaae (Ma's night monkey).;64;0,98;0,99;-0,01;14
Hansenula anomala (Yeast) (Candida pelliculosa).;29;0,99;1;-0,01;4
Takifugu rubripes (Japanese pufferfish) (Fugu rubripes).;497;0,967060678;0,977226162;-0,010165485;27
Torpedo californica (Pacific electric ray).;50;0,978723404;0,989361702;-0,010638298;3
Paracoccidioides brasiliensis (strain Pb03).;85;0,988304094;1;-0,011695906;9
Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans).;1482;0,986901536;0,998644986;-0,011743451;6
Nicotiana tabacum (Common tobacco).;974;0,972340426;0,984230288;-0,011889862;34
Schwanniomyces occidentalis (Yeast) (Debaryomyces occidentalis).;46;0,988095238;1;-0,011904762;4
Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans).;1511;0,986378738;0,99833887;-0,011960133;6
Macaca mulatta (Rhesus macaque).;682;0,960942706;0,973157253;-0,012214547;107
Hylobates lar (Common gibbon) (White-handed gibbon).;216;0,888225539;0,900497512;-0,012271973;15
Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum).;103;0,987373737;1;-0,012626263;4
Onchocerca volvulus.;233;0,987357775;1;-0,012642225;7
Paracoccidioides brasiliensis (strain Pb18).;105;0,987113402;1;-0,012886598;8
Schistosoma japonicum (Blood fluke).;107;0,98156682;0,994623656;-0,013056836;14
Rattus norvegicus (Rat).;22373;0,94020863;0,953380966;-0,013172336;1388
Penicillium chrysogenum (Penicillium notatum).;77;0,98630137;1;-0,01369863;4
Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis).;74;0,986111111;1;-0,013888889;2
Saguinus oedipus (Cotton-top tamarin).;71;0,98582996;1;-0,01417004;19
Aspergillus terreus (strain NIH 2624 / FGSC A1156).;1123;0,964998841;0,979253085;-0,014254245;74
Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum).;130;0,985655738;1;-0,014344262;8
Penicillium janthinellum (Penicillium vitale).;25;0,984848485;1;-0,015151515;3
Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) (Wheat head blight fungus) (Fusarium graminearum).;878;0,983122363;0,999424626;-0,016302263;9
Notophthalmus viridescens (Eastern newt) (Triturus viridescens).;62;0,983606557;1;-0,016393443;1
Penicillium chrysogenum (strain ATCC 28089 / DSM 1075 / Wisconsin 54-1255) (Penicillium notatum).;179;0,980537535;0,996987952;-0,016450417;13
Branchiostoma floridae (Florida lancelet) (Amphioxus).;259;0,655642023;0,672178988;-0,016536965;2
Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus).;1358;0,904950169;0,922205749;-0,01725558;9
Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold).;1622;0,96326466;0,981638194;-0,018373535;113
Heliothis virescens (Tobacco budworm moth).;86;0,98125;1;-0,01875;6
Mus musculus (Mouse).;48910;0,930983649;0,949813282;-0,018829633;2780
Schistosoma mansoni (Blood fluke).;222;0,879672897;0,900116822;-0,020443925;8
Davidiella tassiana (Mycosphaerella tassiana) (Cladosporium herbarum).;25;0,958333333;0,979166667;-0,020833333;1
Aspergillus niger (strain CBS 513.88 / FGSC A1513).;1140;0,967377874;0,988372093;-0,020994219;86
Phaseolus vulgaris (Kidney bean) (French bean).;244;0,928037583;0,9501388;-0,022101217;21
Ixodes scapularis (Black-legged tick) (Deer tick).;47;0,977777778;1;-0,022222222;2
Saccharomyces cerevisiae (strain RM11-1a) (Baker's yeast).;480;0,860813704;0,883544721;-0,022731016;13
Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum).;674;0,975975976;0,999249249;-0,023273273;8
Papio cynocephalus (Yellow baboon).;10;0,904761905;0,928571429;-0,023809524;3
Uncinocarpus reesii (strain UAMH 1704).;137;0,970963995;0,995934959;-0,024970964;14
Tenebrio molitor (Yellow mealworm beetle).;18;0,925;0,95;-0,025;10
Gloydius halys (Chinese water mocassin) (Agkistrodon halys).;146;0,974410774;1;-0,025589226;11
Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus).;2080;0,953485653;0,979290895;-0,025805242;127
Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast).;2962;0,930059468;0,956337797;-0,026278329;152
Komagataella pastoris (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris).;200;0,970790378;0,99742268;-0,026632302;6
Salmo salar (Atlantic salmon).;589;0,938400703;0,96572935;-0,027328647;20
Ophiophagus hannah (King cobra) (Naja hannah).;63;0,959401709;0,987179487;-0,027777778;39
Sus scrofa (Pig).;3025;0,94113373;0,968943801;-0,02781007;341
Brassica napus (Rape).;638;0,942123709;0,970588235;-0,028464526;17
Candida albicans (Yeast).;431;0,968669951;0,997536946;-0,028866995;25
Penicillium marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333).;150;0,970950704;1;-0,029049296;8
Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan).;54;0,970394737;1;-0,029605263;16
Toxoplasma gondii.;153;0,813868613;0,84375;-0,029881387;16
Pan troglodytes (Chimpanzee).;1649;0,912172439;0,942570035;-0,030397596;207
Coccidioides posadasii (strain C735) (Valley fever fungus).;148;0,968900126;1;-0,031099874;35
Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea).;35;0,967741935;1;-0,032258065;4
Dicentrarchus labrax (European seabass) (Morone labrax).;32;0,966183575;1;-0,033816425;9
Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) (Baker's yeast).;380;0,91015274;0,944444444;-0,034291704;9
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum).;162;0,96474359;1;-0,03525641;6
Mesocricetus auratus (Golden hamster).;707;0,959695586;0,996194825;-0,036499239;50
Esox lucius (Northern pike).;29;0,962962963;1;-0,037037037;2
Oryza sativa subsp. indica (Rice).;1800;0,932004713;0,969080124;-0,03707541;42
Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum).;393;0,9607698;0,998704663;-0,037934863;7
Carassius auratus (Goldfish).;424;0,866365915;0,90481203;-0,038446115;25
Papio hamadryas (Hamadryas baboon).;152;0,772446383;0,812068339;-0,039621956;21
Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum).;83;0,960171569;1;-0,039828431;32
Candida tropicalis (Yeast).;73;0,958333333;1;-0,041666667;1
Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).;2535;0,884961835;0,927043013;-0,042081178;22
Paramecium tetraurelia.;287;0,857400722;0,9;-0,042599278;10
Macaca fuscata fuscata (Japanese macaque).;102;0,956521739;1;-0,043478261;10
Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae).;1142;0,93824097;0,983422939;-0,045181969;26
Lagothrix lagotricha (Brown woolly monkey) (Humboldt's woolly monkey).;14;0,909090909;0,954545455;-0,045454545;3
Homo sapiens (Human).;63981;0,896752635;0,943288609;-0,046535974;3056
Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus).;695;0,900273224;0,947124938;-0,046851714;24
Bungarus fasciatus (Banded krait) (Pseudoboa fasciata).;71;0,952380952;1;-0,047619048;15
Gasterosteus aculeatus (Three-spined stickleback).;22;0,952380952;1;-0,047619048;1
Drosophila yakuba (Fruit fly).;909;0,917789969;0,965517241;-0,047727273;29
Mustela putorius furo (European domestic ferret) (Mustela furo).;81;0,945070423;0,992957746;-0,047887324;10
Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast).;184;0,950837989;1;-0,049162011;5
Pelophylax esculentus (Edible frog) (Rana esculenta).;12;0,95;1;-0,05;2
Coturnix coturnix japonica (Japanese quail) (Coturnix japonica).;246;0,860452489;0,912488688;-0,052036199;25
Aedes aegypti (Yellowfever mosquito) (Culex aegypti).;961;0,903795202;0,955925528;-0,052130326;30
Pinus radiata (Monterey pine) (Pinus insignis).;20;0,947368421;1;-0,052631579;1
Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis).;106;0,945165945;1;-0,054834055;7
Colobus guereza (Mantled guereza) (Eastern black-and-white colobus monkey).;69;0,945054945;1;-0,054945055;13
Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Septoria nodorum).;913;0,942101369;0,997780244;-0,055678875;12
Cicer arietinum (Chickpea) (Garbanzo).;116;0,943952802;1;-0,056047198;3
Ovis aries (Sheep).;975;0,888834207;0,945355643;-0,056521436;137
Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby).;61;0,942424242;1;-0,057575758;6
Zea mays (Maize).;1641;0,88922931;0,948351451;-0,059122141;49
Nectria haematococca (strain 77-13-4 / ATCC MYA-4622 / FGSC 9596 / MPVI) (Fusarium solani subsp. pisi).;197;0,940663176;1;-0,059336824;6
Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola).;44;0,93968254;1;-0,06031746;9
Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167).;276;0,877233782;0,938372093;-0,061138311;86
Cavia porcellus (Guinea pig).;678;0,922192452;0,983675497;-0,061483046;97
Humicola insolens (Soft-rot fungus).;8;0,9375;1;-0,0625;4
Metarhizium acridum (strain CQMa 102).;26;0,9375;1;-0,0625;2
Cervus elaphus (Red deer).;78;0,936507937;1;-0,063492063;15
Lachesis muta muta (Bushmaster).;47;0,864285714;0,928571429;-0,064285714;7
Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam).;21;0,87962963;0,944444444;-0,064814815;9
Rhipicephalus sanguineus (Brown dog tick) (Ixodes sanguineus).;141;0,862318841;0,927536232;-0,065217391;3
Theileria parva (East coast fever infection agent).;114;0,809090909;0,875;-0,065909091;4
Panax ginseng (Korean ginseng).;213;0,882075472;0,948113208;-0,066037736;1
Saccharomyces cerevisiae (strain AWRI1631) (Baker's yeast).;283;0,881684982;0,948168498;-0,066483516;10
Fundulus heteroclitus (Killifish) (Mummichog).;11;0,933333333;1;-0,066666667;5
Camelus dromedarius (Dromedary) (Arabian camel).;55;0,931972789;1;-0,068027211;6
Oryctolagus cuniculus (Rabbit).;1837;0,8948948;0,963025561;-0,068130761;171
Spinacia oleracea (Spinach).;492;0,931833674;1;-0,068166326;3
Trypanosoma brucei rhodesiense.;15;0,931818182;1;-0,068181818;4
Agkistrodon piscivorus piscivorus (Eastern cottonmouth).;63;0,931034483;1;-0,068965517;5
Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987).;3036;0,875818082;0,94572246;-0,069904377;34
Torpedo marmorata (Marbled electric ray).;35;0,760416667;0,833333333;-0,072916667;3
Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi).;85;0,926739927;1;-0,073260073;7
Phanerochaete chrysosporium (White-rot fungus) (Sporotrichum pruinosum).;42;0,926020408;1;-0,073979592;14
Sapajus apella (Brown-capped capuchin) (Cebus apella).;15;0,884615385;0,961538462;-0,076923077;2
Pongo pygmaeus (Bornean orangutan).;455;0,847563473;0,926341114;-0,078777641;48
Candida maltosa (Yeast).;78;0,921052632;1;-0,078947368;2
Pichia angusta (Yeast) (Hansenula polymorpha).;122;0,915966387;0,995798319;-0,079831933;3
Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans).;364;0,818384401;0,898607242;-0,080222841;5
Saccharomyces cerevisiae (strain JAY291) (Baker's yeast).;409;0,864166667;0,944444444;-0,080277778;9
Vitis vinifera (Grape).;318;0,919614148;1;-0,080385852;7
Canis familiaris (Dog) (Canis lupus familiaris).;1640;0,885878885;0,966560689;-0,080681804;226
Chlamydomonas reinhardtii (Chlamydomonas smithii).;962;0,772667715;0,854035639;-0,081367925;8
Plasmodium chabaudi.;103;0,833333333;0,916666667;-0,083333333;1
Dermatophagoides pteronyssinus (European house dust mite).;7;0,75;0,833333333;-0,083333333;4
Anopheles gambiae (African malaria mosquito).;930;0,870962447;0,954766282;-0,083803834;34
Rhinoceros unicornis (Greater Indian rhinoceros).;142;0,843971631;0,929078014;-0,085106383;1
Lama glama (Llama).;33;0,912037037;1;-0,087962963;9
Helicoverpa armigera (Cotton bollworm) (Heliothis armigera).;24;0,909090909;1;-0,090909091;2
Procyon lotor (Raccoon).;23;0,909090909;1;-0,090909091;1
Gorilla gorilla gorilla (Western lowland gorilla).;682;0,872054362;0,963936415;-0,091882053;67
Cricetulus longicaudatus (Long-tailed dwarf hamster) (Chinese hamster).;21;0,907407407;1;-0,092592593;3
Hordeum vulgare (Barley).;719;0,881767227;0,974793933;-0,093026706;45
Cyprinus carpio (Common carp).;208;0,744736842;0,841812865;-0,097076023;18
Aspergillus terreus.;55;0,901960784;1;-0,098039216;4
Encephalitozoon intestinalis (Microsporidian parasite).;7;0,9;1;-0,1;5
Saccharomyces cerevisiae (strain FostersO) (Baker's yeast).;11;0,9;1;-0,1;1
Schistocerca americana (American grasshopper).;11;0,9;1;-0,1;5
Cryptomeria japonica (Japanese cedar) (Cupressus japonica).;101;0,898989899;1;-0,101010101;2
Saimiri sciureus (Common squirrel monkey).;90;0,89;0,992857143;-0,102857143;20
Neosartorya fumigata (Aspergillus fumigatus).;51;0,896296296;1;-0,103703704;6
Ajellomyces dermatitidis (strain SLH14081) (Blastomyces dermatitidis).;122;0,895771878;1;-0,104228122;9
Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136) (Verticillium wilt of alfalfa) (Verticillium albo-atrum).;80;0,810810811;0,916666667;-0,105855856;6
Anas platyrhynchos (Mallard) (Anas boschas).;103;0,735483871;0,842473118;-0,106989247;10
Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis).;123;0,890217391;1;-0,109782609;8
Olea europaea (Common olive).;101;0,757731959;0,875;-0,117268041;4
Aspergillus flavus.;89;0,767068273;0,885542169;-0,118473896;6
Leptonychotes weddellii (Weddell seal).;43;0,878205128;1;-0,121794872;4
Triticum aestivum (Wheat).;733;0,857880133;0,981132075;-0,123251942;53
Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri).;374;0,844924812;0,96875;-0,123825188;38
Aotus azarae (Southern owl monkey) (Aotus azarai).;5;0,75;0,875;-0,125;1
Aspergillus tubingensis.;48;0,75;0,875;-0,125;8
Saguinus fuscicollis (Brown-headed tamarin).;5;0,75;0,875;-0,125;1
Pleurotus ostreatus (Oyster mushroom) (White-rot fungus).;24;0,869565217;1;-0,130434783;1
Pan paniscus (Pygmy chimpanzee) (Bonobo).;330;0,835167715;0,966981132;-0,131813417;12
Lumbricus terrestris (Common earthworm).;145;0,867132867;1;-0,132867133;2
Crocuta crocuta (Spotted hyena).;23;0,863636364;1;-0,136363636;1
Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis).;288;0,812014134;0,962897527;-0,150883392;5
Gadus morhua (Atlantic cod).;215;0,699047619;0,852380952;-0,153333333;5
Boselaphus tragocamelus (Nilgai).;28;0,840909091;1;-0,159090909;6
Tuber melanosporum (strain Mel28) (Perigord black truffle).;32;0,838709677;1;-0,161290323;1
Antheraea polyphemus (Polyphemus moth).;5;0,833333333;1;-0,166666667;2
Camelus bactrianus (Bactrian camel).;29;0,833333333;1;-0,166666667;5
Macropus rufus (Red kangaroo) (Megaleia rufa).;25;0,833333333;1;-0,166666667;1
Ursus arctos (Brown bear) (Grizzly bear).;43;0,833333333;1;-0,166666667;3
Equus caballus (Horse).;610;0,805828443;0,978967495;-0,173139052;87
Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis).;129;0,572;0,75;-0,178;4
Drosophila mauritiana (Fruit fly).;78;0,821428571;1;-0,178571429;8
Balaenoptera physalus (Finback whale) (Common rorqual).;123;0,655737705;0,836065574;-0,180327869;1
Locusta migratoria (Migratory locust).;227;0,627027027;0,807657658;-0,180630631;5
Trichosurus vulpecula (Brush-tailed possum).;62;0,818439716;1;-0,181560284;15
Felis catus (Cat) (Felis silvestris catus).;547;0,751062156;0,935470758;-0,184408602;82
Squalus acanthias (Spiny dogfish).;206;0,712195122;0,902439024;-0,190243902;1
Blastobotrys adeninivorans (Yeast) (Arxula adeninivorans).;22;0,80952381;1;-0,19047619;1
Delphinapterus leucas (Beluga whale).;68;0,805128205;1;-0,194871795;3
Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus).;59;0,802675585;1;-0,197324415;13
Oncorhynchus nerka (Sockeye salmon) (Salmo nerka).;45;0,8;1;-0,2;5
Emericella nidulans (Aspergillus nidulans).;100;0,797979798;1;-0,202020202;1
Monodelphis domestica (Gray short-tailed opossum).;109;0,791280148;0,994897959;-0,203617811;11
Ailurus fulgens (Lesser panda) (Red panda).;45;0,793650794;1;-0,206349206;3
Lolium perenne (Perennial ryegrass).;104;0,792079208;1;-0,207920792;3
Sorghum bicolor (Sorghum) (Sorghum vulgare).;327;0,685714286;0,898447205;-0,212732919;5
Tachyglossus aculeatus aculeatus (Australian echidna).;49;0,574468085;0,787234043;-0,212765957;2
Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell).;112;0,781446541;1;-0,218553459;6
Paracentrotus lividus (Common sea urchin).;185;0,726775956;0,945355191;-0,218579235;2
Capra hircus (Goat).;160;0,771657143;0,992;-0,220342857;35
Carica papaya (Papaya).;128;0,67804878;0,9;-0,22195122;5
Trachypithecus obscurus (Dusky leaf-monkey) (Presbytis obscura).;26;0,772727273;1;-0,227272727;4
Echinops telfairi (Lesser hedgehog tenrec).;28;0,769230769;1;-0,230769231;2
Neofelis nebulosa (Clouded leopard).;28;0,769230769;1;-0,230769231;2
Helianthus annuus (Common sunflower).;288;0,766081871;1;-0,233918129;3
Dasypus novemcinctus (Nine-banded armadillo).;158;0,534640523;0,77254902;-0,237908497;5
Aspergillus niger.;260;0,74307592;0,981345715;-0,238269795;62
Vulpes vulpes (Red fox).;74;0,759803922;1;-0,240196078;6
Struthio camelus (Common ostrich).;173;0,696078431;0,944117647;-0,248039216;3
Phoca vitulina (Harbor seal).;161;0,691823899;0,940251572;-0,248427673;2
Allium cepa (Onion).;42;0,5;0,75;-0,25;2
Callithrix humeralifera (Tassel-eared marmoset).;3;0,5;0,75;-0,25;1
Claviceps purpurea (Ergot fungus) (Sphacelia segetum).;78;0,75;1;-0,25;2
Lipotes vexillifer (Yangtze river dolphin).;40;0,75;1;-0,25;2
Passalora fulva (Tomato leaf mold) (Cladosporium fulvum).;3;0,5;0,75;-0,25;1
Rhodnius prolixus (Triatomid bug).;5;0,5;0,75;-0,25;3
Vulpes lagopus (Arctic fox) (Alopex lagopus).;42;0,75;1;-0,25;2
Cerastes cerastes (Horned desert viper).;47;0,743589744;1;-0,256410256;8
Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Filobasidiella neoformans var. grubii).;88;0,738372093;1;-0,261627907;2
Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum).;149;0,608108108;0,871621622;-0,263513514;1
Ceratitis capitata (Mediterranean fruit fly) (Tephritis capitata).;90;0,567049808;0,833333333;-0,266283525;3
Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha).;50;0,733333333;1;-0,266666667;5
Fasciola hepatica (Liver fluke).;75;0,72972973;1;-0,27027027;1
Ornithorhynchus anatinus (Duckbill platypus).;157;0,66122449;0,93537415;-0,27414966;10
Saccharomyces cerevisiae (Baker's yeast).;42;0,724324324;1;-0,275675676;5
Ascaris suum (Pig roundworm) (Ascaris lumbricoides).;344;0,694117647;0,970588235;-0,276470588;4
Equus asinus (Donkey).;188;0,643251776;0,947513812;-0,304262036;7
Lemur catta (Ring-tailed lemur).;166;0,63190184;0,938650307;-0,306748466;3
Aspergillus parasiticus.;115;0,614035088;0,921052632;-0,307017544;1
Halichoerus grypus (Gray seal).;143;0,623809524;0,932142857;-0,308333333;3
Fusarium solani subsp. pisi (Nectria haematococca).;63;0,68852459;1;-0,31147541;2
Penicillium marneffei.;64;0,682539683;1;-0,317460317;1
Bos indicus (Zebu).;167;0,555555556;0,87654321;-0,320987654;5
Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum).;139;0,654234654;0,977272727;-0,323038073;22
Petromyzon marinus (Sea lamprey).;188;0,623611111;0,947222222;-0,323611111;8
Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina).;327;0,527603075;0,852725367;-0,325122292;9
Lytechinus variegatus (Green sea urchin) (Variegated urchin).;76;0,655405405;1;-0,344594595;2
Ceratotherium simum (White rhinoceros) (Square-lipped rhinoceros).;142;0,578571429;0,928571429;-0,35;2
Drosophila subobscura (Fruit fly).;56;0,65;1;-0,35;6
Semnopithecus entellus (Hanuman langur) (Presbytis entellus).;28;0,634615385;1;-0,365384615;2
Hippopotamus amphibius (Hippopotamus).;161;0,50625;0,875;-0,36875;1
Rhizopus oryzae (Mucormycosis agent) (Rhizopus arrhizus var. delemar).;44;0,62601626;1;-0,37398374;3
Lymnaea stagnalis (Great pond snail) (Helix stagnalis).;75;0,592592593;0,972222222;-0,37962963;18
Myxine glutinosa (Atlantic hagfish).;144;0,545454545;0,93006993;-0,384615385;1
Cryphonectria parasitica (Chesnut blight fungus) (Endothia parasitica).;104;0,6025;1;-0,3975;4
Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana).;173;0,534023669;0,940828402;-0,406804734;4
Pinus sylvestris (Scots pine).;51;0,591836735;1;-0,408163265;2
Hypocrea jecorina (Trichoderma reesei).;108;0,574898785;1;-0,425101215;13
Mytilus edulis (Blue mussel).;123;0,566115702;1;-0,433884298;2
Ovibos moschatus (Muskox).;23;0,547619048;1;-0,452380952;2
Loxodonta africana (African elephant).;176;0,545977011;1;-0,454022989;2
Blattella germanica (German cockroach) (Blatta germanica).;12;0,545454545;1;-0,454545455;1
Patiria pectinifera (Starfish) (Asterina pectinifera).;147;0,544827586;1;-0,455172414;2
Schizophyllum commune (Split gill fungus).;102;0,539930556;1;-0,460069444;6
Phodopus sungorus (Striped hairy-footed hamster) (Djungarian hamster).;85;0,536585366;1;-0,463414634;3
Zalophus californianus (California sealion).;42;0,536585366;1;-0,463414634;1
Helarctos malayanus (Malayan sun bear) (Ursus malayanus).;43;0,523809524;1;-0,476190476;1
Sigmodon hispidus (Hispid cotton rat).;49;0,523809524;1;-0,476190476;7
Neovison vison (American mink) (Mustela vison).;57;0,513833992;1;-0,486166008;11
Mirounga angustirostris (Northern elephant seal).;40;0,512820513;1;-0,487179487;1
Bos mutus grunniens (Wild yak) (Bos grunniens).;150;0,506849315;1;-0,493150685;4
Meriones unguiculatus (Mongolian jird) (Mongolian gerbil).;62;0,501488095;1;-0,498511905;14
Ovis canadensis (Bighorn sheep).;22;0,5;1;-0,5;2
