OS;Count;signalHsmm;signalP;diff;sp_count
Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus).;22;1;0,961538462;0,038461538;13
Caenorhabditis briggsae.;1720;0,963197347;0,924975124;0,038222222;45
Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii).;2530;0,957372507;0,920799408;0,036573099;21
Dictyostelium discoideum (Slime mold).;10640;0,983437858;0,949856451;0,033581407;369
Gossypium hirsutum (Upland cotton) (Gossypium mexicanum).;305;1;0,966666667;0,033333333;5
Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).;12140;0,958574541;0,925662955;0,032911586;202
Drosophila erecta (Fruit fly).;815;0,998938429;0,966666667;0,032271762;30
Meleagris gallopavo (Common turkey).;153;0,94858156;0,916666667;0,031914894;12
Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Eremothecium gossypii).;3225;0,953507106;0,921826532;0,031680573;26
Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata).;2990;0,97549756;0,947093829;0,028403731;29
Blomia tropicalis (Mite).;19;1;0,972222222;0,027777778;1
Oxyuranus microlepidotus (Inland taipan).;20;1;0,973684211;0,026315789;19
Apis mellifera (Honeybee).;189;0,995023885;0,96875;0,026273885;32
Drosophila melanogaster (Fruit fly).;11253;0,9659322;0,940796086;0,025136114;361
Myodes glareolus (Bank vole) (Clethrionomys glareolus).;21;1;0,975;0,025;1
Peromyscus leucopus (White-footed mouse).;22;1;0,976190476;0,023809524;1
Trachypithecus cristatus (Silvered leaf-monkey) (Presbytis cristata).;25;1;0,977272727;0,022727273;3
Xenopus laevis (African clawed frog).;11102;0,967370298;0,94519392;0,022176378;304
Homarus americanus (American lobster).;29;1;0,97826087;0,02173913;6
Persea americana (Avocado).;24;1;0,97826087;0,02173913;1
Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23)).;32;0,935897436;0,916666667;0,019230769;6
Drosophila simulans (Fruit fly).;802;0,968953634;0,952380952;0,016572682;42
Caenorhabditis elegans.;9177;0,941010512;0,924850732;0,01615978;438
